symbol,sector,industry,exchange,market_cap_B
IR,Industrials,Specialty Industrial Machinery,NYQ,37.89
VEEV,Healthcare,Health Information Services,NYQ,37.87
CCL,Consumer Cyclical,Travel Services,NYQ,37.41
IQV,Healthcare,Diagnostics & Research,NYQ,36.55
YUM,Consumer Cyclical,Restaurants,NYQ,36.42
FERG,Industrials,Industrial Distribution,NYQ,36.35
CCEP,Consumer Defensive,Beverages - Non-Alcoholic,NMS,36.21
VMC,Basic Materials,Building Materials,NYQ,36.2
KHC,Consumer Defensive,Packaged Foods,NMS,36.08
WAB,Industrials,Railroads,NYQ,35.74
SYY,Consumer Defensive,Food Distribution,NYQ,35.67
ACGL,Financial Services,Insurance - Diversified,NMS,35.58
HUM,Healthcare,Healthcare Plans,NYQ,35.31
RDDT,Communication Services,Internet Content & Information,NYQ,35.04
ALNY,Healthcare,Biotechnology,NMS,34.99
UAL,Industrials,Airlines,NMS,34.81
ETR,Utilities,Utilities - Regulated Electric,NYQ,34.77
RMD,Healthcare,Medical Instruments & Supplies,NYQ,34.69
LEN,Consumer Cyclical,Residential Construction,NYQ,34.67
IDXX,Healthcare,Diagnostics & Research,NMS,34.56
RJF,Financial Services,Asset Management,NYQ,34.47
PCG,Utilities,Utilities - Regulated Electric,NYQ,34.33
EFX,Industrials,Consulting Services,NYQ,34.06
EXR,Real Estate,REIT - Industrial,NYQ,33.97
IMO,Energy,Oil & Gas Integrated,ASE,33.95
DXCM,Healthcare,Medical Devices,NMS,33.92
DECK,Consumer Cyclical,Footwear & Accessories,NYQ,33.9
BSBR,Financial Services,Banks - Regional,NYQ,33.65
MTB,Financial Services,Banks - Regional,NYQ,33.39
LYV,Communication Services,Entertainment,NYQ,33.36
MLM,Basic Materials,Building Materials,NYQ,33.26
LVS,Consumer Cyclical,Resorts & Casinos,NYQ,33.23
WTW,Financial Services,Insurance Brokers,NMS,33.2
SLF,Financial Services,Insurance - Diversified,NYQ,33.18
GIS,Consumer Defensive,Packaged Foods,NYQ,33.15
STZ,Consumer Defensive,Beverages - Brewers,NYQ,32.68
TTWO,Communication Services,Electronic Gaming & Multimedia,NMS,32.58
ED,Utilities,Utilities - Regulated Electric,NYQ,32.48
EBAY,Consumer Cyclical,Internet Retail,NMS,32.34
HIG,Financial Services,Insurance - Property & Casualty,NYQ,32.34
CNC,Healthcare,Healthcare Plans,NYQ,32.33
EA,Communication Services,Electronic Gaming & Multimedia,NMS,32.24
DD,Basic Materials,Specialty Chemicals,NYQ,32.1
CUK,Consumer Cyclical,Leisure,NYQ,31.76
AVB,Real Estate,REIT - Residential,NYQ,31.51
ROK,Industrials,Specialty Industrial Machinery,NYQ,31.47
CSGP,Real Estate,Real Estate Services,NMS,31.4
WEC,Utilities,Utilities - Regulated Electric,NYQ,31.4
VICI,Real Estate,REIT - Diversified,NYQ,31.38
MPWR,Technology,Semiconductors,NMS,31.09
ZS,Technology,Software - Infrastructure,NMS,31.09
FER,Industrials,Infrastructure Operations,NMS,30.94
KEYS,Technology,Scientific & Technical Instruments,NYQ,30.84
ANSS,Technology,Software - Application,NMS,30.65
CQP,Energy,Oil & Gas Midstream,NYQ,30.64
EQT,Energy,Oil & Gas E&P,NYQ,30.5
HPQ,Technology,Computer Hardware,NYQ,30.48
HSY,Consumer Defensive,Confectioners,NYQ,30.2
BIDU,Communication Services,Internet Content & Information,NMS,30.18
NUE,Basic Materials,Steel,NYQ,30.16
XYL,Industrials,Specialty Industrial Machinery,NYQ,30.13
CHT,Communication Services,Telecom Services,NYQ,30.13
GDDY,Technology,Software - Infrastructure,NYQ,29.98
